"","Row.names","group","indval","pvalue","freq","OUT.ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","OTU183",3,0.275641025641026,0.04,4,"OTU183","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia inaequalis"
"2","OTU2036",3,0.222222222222222,0.049,3,"OTU2036","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma halophilum"
"3","OTU250",1,0.265203761755486,0.041,1,"OTU250","Fungi","Ascomycota","Dothideomycetes",NA,NA,"Catenulomyces","Catenulomyces convolutus"
"4","OTU280",4,0.225,0.04,2,"OTU280","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium oxysporum"
"5","OTU301",4,0.230232558139535,0.042,4,"OTU301","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium herbarum"
"6","OTU315",1,0.295245641838352,0.024,8,"OTU315","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia terricola"
"7","OTU44",3,0.308046940486169,0.015,1,"OTU44","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia africana"
"8","OTU52",4,0.436861743912019,0.004,1,"OTU52","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria hungarica"
"9","OTU798",3,0.223463687150838,0.041,22,"OTU798","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Allophoma","Allophoma labilis"
"10","OTU804",4,0.3,0.016,4,"OTU804","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum gloeosporioides"
"11","OTU98",4,0.244238932686477,0.021,1,"OTU98","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Ulocladium","Ulocladium dauci"
